date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:57:11	301065/301065	---MCZ	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2007:57:14%20GMT	https://www.thelogistixco.com/	C:/inetrship/service/www.thelogistixco.com/index.html	(from )
00:57:12	96/96	---MCZ	200	added ('OK')	text/plain	date:Sun,%2002%20Oct%202022%2007:57:14%20GMT	https://www.thelogistixco.com/robots.txt		(from )
00:57:13	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2007:57:15%20GMT	https://www.thelogistixco.com/o,baseURI	C:/inetrship/service/www.thelogistixco.com/o,baseURI	(from https://www.thelogistixco.com/)
00:57:14	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2007:57:17%20GMT	https://www.thelogistixco.com/GET	C:/inetrship/service/www.thelogistixco.com/GET	(from https://www.thelogistixco.com/)
00:57:15	72886/72886	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2002%20Oct%202022%2007:57:18%20GMT	https://www.thelogistixco.com/Edge/	C:/inetrship/service/www.thelogistixco.com/Edge/index.html	(from https://www.thelogistixco.com/)
00:57:16	546490/546490	---M--	200	added ('OK')	image/jpeg	etag:%22633490ac-85742%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/AdobeStock_330944651.jpg	(from https://www.thelogistixco.com/)
00:57:16	4838/4838	---M--	200	added ('OK')	image/png	etag:%22633490ab-1368%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Mask-Group-1@2x.png	(from https://www.thelogistixco.com/)
00:57:19	58050/58050	---M--	200	added ('OK')	image/jpeg	etag:%22633490ae-e340%22	https://cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	C:/inetrship/service/cdn-dhaoc.nitrocdn.com/yFqVfRYBJOLINhnquyhbCoFSffBIZaKV/assets/static/optimized/rev-36dbb12/wp-content/uploads/2021/03/Liquid-Bulk.jpg	(from https://www.thelogistixco.com/)
00:57:21	3439/3439	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/comments/feed/	C:/inetrship/service/www.thelogistixco.com/comments/feed/index.html	(from https://www.thelogistixco.com/)
00:57:21	40247/40247	---MCZ	200	added ('OK')	application/rss+xml	etag:%22bcbbb13f2e874ef3100d357bb0f5300f%22	https://www.thelogistixco.com/feed/	C:/inetrship/service/www.thelogistixco.com/feed/index.html	(from https://www.thelogistixco.com/)
